neural network  (Abstract) AND Meteorology & Atmospheric Sciences  (Web of Science Categories)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Artificial neural networks (the multilayer perceptron) - A review of applications in the atmospheric sciences","Gardner, MW; Dorling, SR","","","","ATMOSPHERIC ENVIRONMENT","AUG 1998","1998","32","14-15","","","","2627","2636","","10.1016/S1352-2310(97)00447-0","","","2129","78.85","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","13","13","17","17","23","18","41","18","31","29","24","35","43","31","41","49","74","88","103","139","206","244","279","268","267"
"Evaluation of PERSIANN system satellite-based estimates of tropical rainfall","Sorooshian, S; Hsu, KL; Gao, X; Gupta, HV; Imam, B; Braithwaite, D","","","","BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY","SEP 2000","2000","81","9","","","","2035","2046","","10.1175/1520-0477(2000)081<2035:EOPSSE>2.3.CO;2","","","1012","40.48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","7","8","9","7","9","21","17","27","43","31","33","36","48","55","68","75","100","80","73","89","72","56","44"
"PERSIANN-CDR Daily Precipitation Climate Data Record from Multisatellite Observations for Hydrological and Climate Studies","Ashouri, Hamed; Hsu, Kuo-Lin; Sorooshian, Soroosh; Braithwaite, Dan K.; Knapp, Kenneth R.; Cecil, L. Dewayne; Nelson, Brian R.; Prat, Olivier P.","","","","BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY","JAN 2015","2015","96","1","","","","69","+","","10.1175/BAMS-D-13-00068.1","","","971","97.10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","35","55","71","106","130","163","162","125","113"
"Precipitation estimation from remotely sensed information using artificial neural networks","Hsu, KL; Gao, XG; Sorooshian, S; Gupta, HV","","","","JOURNAL OF APPLIED METEOROLOGY","SEP 1997","1997","36","9","","","","1176","1190","","10.1175/1520-0450(1997)036<1176:PEFRSI>2.0.CO;2","","","861","30.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","4","2","6","8","10","11","9","19","12","21","43","26","20","14","40","39","55","57","67","65","72","67","80","64","41"
"Comprehensive comparison of gap-filling techniques for eddy covariance net carbon fluxes","Moffat, Antje M.; Papale, Dario; Reichstein, Markus; Hollinger, David Y.; Richardson, Andrew D.; Barr, Alan G.; Beckstein, Clemens; Braswell, Bobby H.; Churkina, Galina; Desai, Ankur R.; Falge, Eva; Gove, Jeffrey H.; Heimann, Martin; Hui, Dafeng; Jarvis, Andrew J.; Kattge, Jens; Noormets, Asko; Stauch, Vanessa J.","","","","AGRICULTURAL AND FOREST METEOROLOGY","DEC 10 2007","2007","147","3-4","","","","209","232","","10.1016/j.agrformet.2007.08.011","","","678","37.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","20","42","33","34","55","45","42","46","49","44","38","48","53","43","33","32"
"Precipitation Estimation from Remotely Sensed Imagery using an Artificial Neural Network Cloud Classification System","Hong, Y; Hsu, KL; Sorooshian, S; Gao, XG","","","","JOURNAL OF APPLIED METEOROLOGY","DEC 2004","2004","43","12","","","","1834","1852","","10.1175/JAM2173.1","","","657","31.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","7","13","10","13","25","21","19","22","28","20","31","27","47","44","62","89","86","51","36"
"The analog method as a simple statistical downscaling technique: Comparison with more complicated methods","Zorita, E; von Storch, H","","","","JOURNAL OF CLIMATE","AUG 1999","1999","12","8","2","","","2474","2489","","10.1175/1520-0442(1999)012<2474:TAMAAS>2.0.CO;2","","","572","22.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","10","12","17","13","21","19","19","19","14","22","30","26","41","32","24","34","32","28","39","36","31","23","12","16"
"Artificial neural networks forecasting of PM<sub>2.5</sub> pollution using air mass trajectory based geographic model and wavelet transformation","Feng, Xiao; Li, Qi; Zhu, Yajie; Hou, Junxiong; Jin, Lingyan; Wang, Jingjie","","","","ATMOSPHERIC ENVIRONMENT","APR 2015","2015","107","","","","","118","128","","10.1016/j.atmosenv.2015.02.030","","","416","41.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","20","30","41","65","72","65","49","46","24"
"Assessment of the effects of training data selection on the landslide susceptibility mapping: a comparison between support vector machine (SVM), logistic regression (LR) and artificial neural networks (ANN)","Kalantar, Bahareh; Pradhan, Biswajeet; Naghibi, Seyed Amir; Motevalli, Alireza; Mansor, Shattri","","","","GEOMATICS NATURAL HAZARDS & RISK","2018","2018","9","1","","","","49","69","","10.1080/19475705.2017.1407368","","","359","51.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","33","57","69","71","60","54"
"Performance of high-resolution satellite precipitation products over China","Shen, Yan; Xiong, Anyuan; Wang, Ying; Xie, Pingping","","","","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES","JAN 30 2010","2010","115","","","","","","","D02114","10.1029/2009JD012097","","","347","23.13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","4","16","11","17","26","21","38","33","40","39","38","32","24"
